"","X.1","X","id","tract","geo.id","sq.miles","area","median.income","total.income","income.quantile","total.pop","white.pop","white.ratio","bmp.installations","bmp.per.pop","bmp.per.sqmi","volume","impervious"
"125",125,125,125,10400,11001010400,1.04747956,2712959.59467214,24753,45848533,1,3644,148,0.0406147091108672,102,0.0238262088297127,97.3766017925925,11256.3,NA
"126",126,126,126,7503,11001007503,0.19295736,499757.274593085,23253,29135292,1,3447,47,0.0136350449666377,25,0.0104690117252931,129.562303298511,3107.44,NA
"127",127,127,127,7504,11001007504,0.30754628,796541.20604348,20654,28493704,1,5187,53,0.0102178523231155,44,0.0182876142975894,143.067898593994,11388.28,NA
"128",128,128,128,1902,11001001902,0.34292122,888161.868727607,46000.5,60643912,3,3867,42,0.0108611326609775,46,0.0243257535695399,134.141596720086,8022.38,NA
"129",129,129,129,2001,11001002001,0.24434608,632853.430341176,32255,77796183,2,2486,11,0.00442477876106195,29,0.0129233511586453,118.684122127108,1881.8,NA
"130",130,130,130,2002,11001002002,0.32786695,849171.50349221,34515,111106825,2,2007,38,0.0189337319382162,84,0.0232622542232069,256.201486609126,4353.22,NA
"131",131,131,131,2101,11001002101,0.2320722,601064.238813091,28176.5,111940633,1,3293,36,0.0109322805952019,28,0.00551724137931034,120.652107404506,679.29,NA
"132",132,132,132,2102,11001002102,0.28025759,725863.829931322,33861.5,113649527,2,3446,24,0.00696459663377829,89,0.0196772053946496,317.564994403898,17413.64,NA
"133",133,133,133,2201,11001002201,0.16028206,415128.621962459,32313,85149168,2,2347,35,0.0149126544524925,25,0.00745378652355397,155.975035509277,4655.25,NA
"134",134,134,134,2202,11001002202,0.26851746,695457.037597032,29500,65242968,2,5226,3439,0.658055874473785,19,0.00644942294636796,70.7588996261174,3086.77,42553
"135",135,135,135,9302,11001009302,0.15572062,403314.549015264,38884,32262752,2,3773,1241,0.328915981977206,66,0.0577933450087566,423.83596982853,0,NA
"136",136,136,136,9400,11001009400,0.61410113,1590514.63581645,49363.5,122069723,3,3373,25,0.00741179958493922,136,0.033680039623576,221.461895046505,21581.87,NA
"137",137,137,137,9501,11001009501,0.61553166,1594219.67538047,28334,66633719.98,1,1962,31,0.0158002038735984,29,0.00518319928507596,47.1137422890644,77.04,NA
"138",138,138,138,9503,11001009503,0.54960638,1423473.98609027,55128,93340693.3,3,3177,20,0.00629524708844822,66,0.0234875444839858,120.085942233786,39613.3,NA
"139",139,139,139,9504,11001009504,0.39623539,1026244.95498885,44206.5,76802968,3,1575,16,0.0101587301587302,85,0.0289115646258503,214.518950465278,24199.11,196854
"140",140,140,140,9505,11001009505,0.39791978,1030607.50172789,41734,74524698,3,1693,11,0.006497341996456,98,0.0381174640217814,246.280795591513,11443.01,NA
"141",141,141,141,9507,11001009507,0.1137702,294663.464164052,38410,37021683,2,2139,18,0.00841514726507714,24,0.0164383561643836,210.951549702822,28894.01,NA
"142",142,142,142,9508,11001009508,0.36237186,938538.799502716,36844,74438513.8,2,3646,34,0.00932528798683489,59,0.0182098765432099,162.816174523044,14987.26,NA
"143",143,143,143,9509,11001009509,0.24930307,645691.979470196,45890,83396856.4,3,2407,384,0.159534690486082,78,0.0270083102493075,312.872200089634,7198.44,NA
